|Município|data_ref|Code|Cidades|0 a 14 anos|15 a 29 anos|30 a 59 anos|60+ anos|Masculino|Feminino|Pop_Total|Atendimentos_valor_medio|Psi_valor_medio|Psi_privado_valor_medio|Atendimentos_qtd_media|Psi_qtd_media|Psi_privado_qtd_media|Profissionais_Publicos|Profissionais_Privados|Profissionais_Total|Estabelecimentos_Publicos|Estabelecimentos_Privados|Estabelecimentos_Total_x|Estabelecimentos_Psi|Estabelecimentos_Atend|Estabelecimentos_Total_y|Contribuição para o PIB estadual %|PIB (mil R$)|Assalariados|Renda média em Salários mínimos|Renda média (R$)
124|351090 Cássia dos Coqueiros|2020|351090|Cássia dos Coqueiros|415|508|1027|555|1263|1242|2505|5067.23|0.0||748.33|0.0||1.0|0.0|1.0|5.0|0.0||2.0|3.0|5.0|||||
125|351100 Castilho|2020|351100|Castilho|4469|4320|9172|3306|10737|10530|21267|45471.49|23.26||24548.83|9.08||3.0|2.0|5.0|6.5|14.0||25.5|28.5|29.5|||||
126|351110 Catanduva|2020|351110|Catanduva|20838|23343|54302|24014|59526|62971|122497|997137.25|6032.35||51342.33|1448.25||29.0|54.5|83.5|43.0|260.5||357.0|544.0|552.5|||||
127|351120 Catiguá|2020|351120|Catiguá|1465|1653|3488|1249|4010|3845|7855|794.36|0.0||184.42|0.0||1.0|0.0|1.0|5.0|0.0||11.0|12.0|13.0|||||
128|351130 Cedral|2020|351130|Cedral|1575|1787|4027|1957|4677|4669|9346|1253.86|2.55||8116.08|1.0||1.0|1.0|2.0|7.0|10.0||15.5|16.5|19.5|||||
129|351140 Cerqueira César|2020|351140|Cerqueira César|4329|4524|8028|3310|10031|10160|20191|28555.05|180.58||2959.5|70.75||7.5|4.0|11.5|9.5|8.0||25.5|26.5|27.5|||||
130|351150 Cerquilho|2020|351150|Cerquilho|9593|10733|21691|7785|24763|25039|49802|78240.79|500.94||36771.25|157.75||1.0|25.5|26.5|17.0|27.0||113.5|123.5|127.5|||||
131|351160 Cesário Lange|2020|351160|Cesário Lange|3911|4212|7682|2570|9547|8828|18375|34384.78|39.38||5036.17|13.92||3.0|1.0|4.0|6.0|5.0||13.0|14.0|16.0|||||
132|351170 Charqueada|2020|351170|Charqueada|3585|4000|7296|2486|9010|8357|17367|15059.93|0.0||9138.83|0.0||1.0|4.5|5.5|7.0|7.5||18.5|20.5|21.5|||||
133|355720 Chavantes|2020|355720|Chavantes|2582|2601|5109|2126|6175|6243|12418|88468.67|53.06||8719.0|18.75||5.0|0.0|5.0|5.0|7.0||18.0|19.0|20.0|||||
134|351190 Clementina|2020|351190|Clementina|2066|2063|3542|1086|4589|4168|8757|16254.43|0.0||2693.67|0.0||2.0|0.0|2.0|5.0|4.0||7.0|7.0|10.0|||||
135|351200 Colina|2020|351200|Colina|3375|3860|8107|3193|9210|9325|18535|27123.48|145.87||86673.42|55.0||3.0|3.5|6.5|9.5|10.0||36.5|40.5|41.5|||||
136|351210 Colômbia|2020|351210|Colômbia|1189|1402|2707|918|3163|3053|6216|2576.99|5.9||7702.83|2.08||4.0|0.0|4.0|8.0|1.0||9.0|9.0|11.0|||||
137|351220 Conchal|2020|351220|Conchal|6022|6888|11572|3791|14429|13844|28273|62757.16|308.24||12661.0|161.67||8.5|0.0|8.5|14.5|14.0||36.5|38.5|40.5|||||
138|351230 Conchas|2020|351230|Conchas|3826|3624|7294|3275|8987|9032|18019|34111.51|18.4||9551.5|6.5||1.0|1.0|2.0|11.0|11.0||36.0|39.0|42.0|||||
139|351240 Cordeirópolis|2020|351240|Cordeirópolis|4907|5717|10450|3752|12621|12205|24826|61672.72|15692.69||12387.08|1049.5||9.0|4.0|13.0|17.0|11.5||35.0|39.5|41.5|||||
140|351250 Coroados|2020|351250|Coroados|1230|1235|2625|1039|3076|3053|6129|1421.62|||9238.08||||||2.0|0.0||1.0|1.0|2.0|||||
141|351260 Coronel Macedo|2020|351260|Coronel Macedo|897|916|1933|889|2382|2253|4635|0.0|0.0||33.58|0.0||1.0|0.0|1.0|4.5|0.0||2.5|2.5|4.5|||||
142|351270 Corumbataí|2020|351270|Corumbataí|750|865|1748|701|2057|2007|4064|2460.7|57.59||4687.0|22.58||1.0|0.0|1.0|5.0|0.0||5.0|5.0|6.0|||||
143|351280 Cosmópolis|2020|351280|Cosmópolis|16253|17430|31091|8700|36948|36526|73474|62795.78|388.5||12212.42|340.42||12.5|9.0|21.5|22.0|27.0||66.5|74.5|80.5|||||
144|351290 Cosmorama|2020|351290|Cosmorama|1096|1321|3143|1738|3743|3555|7298|1194.74|14.15||304.0|5.0||1.0|0.0|1.0|4.0|1.0||4.0|4.0|5.0|||||
145|351300 Cotia|2020|351300|Cotia|55978|58841|107990|30799|124087|129521|253608|649208.74|71.63||156049.67|308.25||21.5|23.0|44.5|51.0|104.5||156.0|177.5|183.5|||||
146|351310 Cravinhos|2020|351310|Cravinhos|7046|8054|15007|5472|17744|17835|35579|55483.67|0.0||76124.83|0.0||5.0|4.0|9.0|18.0|13.0||52.0|58.0|63.0|||||
147|351320 Cristais Paulista|2020|351320|Cristais Paulista|1689|1880|3731|1418|4484|4234|8718|4193.05|33.18||4478.75|7.67||3.5|0.0|3.5|7.5|1.0||10.5|12.5|13.5|||||
148|351330 Cruzália|2020|351330|Cruzália|319|333|938|456|990|1056|2046|4091.63|90.31||4120.42|35.42||1.0|0.0|1.0|3.0|0.0||3.0|3.0|4.0|||||
149|351340 Cruzeiro|2020|351340|Cruzeiro|16228|17206|35020|14117|40284|42287|82571|316788.56|224.59||28792.08|374.5||18.0|37.0|55.0|36.0|153.0||222.5|284.5|291.0|||||
150|351350 Cubatão|2020|351350|Cubatão|29323|31622|55376|15305|65503|66123|131626|328849.77|5688.53||83045.92|1056.83||25.5|21.0|46.5|39.0|42.0||151.5|165.5|168.5|||||
151|351360 Cunha|2020|351360|Cunha|3664|4477|9422|3896|10910|10549|21459|25922.82|67.92||17541.08|32.25||3.0|3.0|6.0|11.0|5.0||18.5|20.5|21.5|||||
152|351370 Descalvado|2020|351370|Descalvado|5881|6720|14904|6405|16711|17199|33910|80196.2|5823.26||31706.33|345.58||11.5|22.0|33.5|20.0|45.0||105.5|118.5|122.5|||||
153|351380 Diadema|2020|351380|Diadema|91891|100422|182802|51642|205400|221357|426757|1404320.69|1268.75||143594.25|6234.5||50.5|8.5|59.0|53.0|87.5||151.0|179.5|184.5|||||
154|351385 Dirce Reis|2020|351385|Dirce Reis|304|295|807|393|935|864|1799|0.0|0.0||15.75|0.0||1.0|0.0|1.0|3.0|0.0||1.0|1.0|3.0|||||
155|351390 Divinolândia|2020|351390|Divinolândia|1673|2110|4882|2421|5484|5602|11086|155461.74|7.78||11493.25|2.75||6.0|2.0|8.0|8.0|15.0||19.0|27.0|28.0|||||
156|351400 Dobrada|2020|351400|Dobrada|2212|2284|3525|989|4613|4397|9010|2932.54|||634.92|||1.0|0.0|1.0|2.0|3.0||5.0|5.0|6.0|||||
157|351410 Dois Córregos|2020|351410|Dois Córregos|6130|6031|11071|4280|13898|13614|27512|35700.2|16.04||33865.33|787.08||3.0|5.0|8.0|10.0|10.0||38.5|44.5|47.5|||||
158|351420 Dolcinópolis|2020|351420|Dolcinópolis|309|383|916|504|1084|1028|2112|470.73|0.0||534.83|0.0||2.0|0.0|2.0|3.0|1.0||3.0|3.0|4.0|||||
159|351430 Dourado|2020|351430|Dourado|1505|1745|3779|1849|4460|4418|8878|5013.28|11.55||13487.08|4.33||2.0|1.0|3.0|6.0|5.5||12.0|14.0|15.0|||||
160|351440 Dracena|2020|351440|Dracena|7230|8787|21243|9783|23964|23079|47043|580020.25|11689.89||47231.0|1951.67||12.5|42.5|55.0|19.0|48.5||214.0|216.0|219.0|||||
161|351450 Duartina|2020|351450|Duartina|2055|2342|5389|2647|6087|6346|12433|58386.3|7094.98||21851.5|613.33||6.0|1.0|7.0|7.0|21.0||44.0|45.0|46.0|||||
162|351460 Dumont|2020|351460|Dumont|2045|2453|4197|1328|5015|5008|10023|6850.14|225.89||7366.42|88.58||1.0|0.0|1.0|5.0|0.0||3.0|3.0|5.0|||||
163|351470 Echaporã|2020|351470|Echaporã|1148|1143|2496|1277|3001|3063|6064|19696.5|0.0||45552.83|0.0||1.0|0.0|1.0|5.0|1.0||4.0|4.0|6.0|||||
164|351480 Eldorado|2020|351480|Eldorado|3736|3561|5803|2444|7854|7690|15544|25375.74|55.13||3483.75|20.92||1.0|0.0|1.0|9.0|0.0||7.5|7.5|9.0|||||
165|351490 Elias Fausto|2020|351490|Elias Fausto|3601|4073|7784|2478|9381|8555|17936|43230.53|0.0||13878.58|0.0||4.5|0.0|4.5|8.0|2.0||11.0|13.0|14.0|||||
166|351492 Elisiário|2020|351492|Elisiário|696|786|1601|614|1987|1710|3697|285.45|||329.42|||1.0|0.0|1.0|2.5|0.0||2.5|2.5|3.5|||||
167|351495 Embaúba|2020|351495|Embaúba|419|483|1070|477|1289|1160|2449|289.99|||2258.75|||2.0|0.0|2.0|2.0|1.0||2.0|2.0|3.0|||||
168|351500 Embu das Artes|2020|351500|Embu das Artes|64360|67473|114634|30068|133686|142849|276535|407405.58|218.39||142228.83|696.67||21.0|20.0|41.0|35.0|37.5||90.5|95.5|99.5|||||
169|351510 Embu-Guaçu|2020|351510|Embu-Guaçu|15275|16287|28757|9582|34762|35139|69901|92516.62|0.0||39762.25|220.08||6.5|7.0|13.5|22.5|15.0||30.5|33.5|38.5|||||
170|351512 Emilianópolis|2020|351512|Emilianópolis|550|622|1385|670|1633|1594|3227|0.0|0.0||71.25|0.0||1.0|0.0|1.0|2.0|0.0||2.0|2.0|3.0|||||
171|351515 Engenheiro Coelho|2020|351515|Engenheiro Coelho|5314|5556|8494|1885|11232|10017|21249|59364.61|2763.88||12201.83|156.42||4.0|12.0|16.0|10.0|8.0||15.0|18.0|20.0|||||
172|351518 Espírito Santo do Pinhal|2020|351518|Espírito Santo do Pinhal|7560|9053|19502|8356|21746|22725|44471|57100.36|228.45||26563.83|926.08||13.5|12.5|26.0|15.5|41.5||143.0|164.5|166.5|||||
173|351519 Espírito Santo do Turvo|2020|351519|Espírito Santo do Turvo|1133|1174|1957|614|2414|2464|4878|6556.03|0.0||4839.92|0.0||3.0|0.0|3.0|4.0|1.0||3.5|3.5|4.5|||||
174|355730 Estiva Gerbi|2020|355730|Estiva Gerbi|2246|2492|5037|1632|5742|5665|11407|28002.85|136.65||11792.58|8.08||3.0|1.0|4.0|9.0|2.5||9.0|12.5|13.5|||||
175|351520 Estrela d'Oeste|2020|351520|Estrela d'Oeste|1356|1561|3747|1755|4241|4178|8419|35395.91|14.62||5970.25|5.17||5.5|1.0|6.5|5.5|9.0||21.5|24.5|26.5|||||
176|351530 Estrela do Norte|2020|351530|Estrela do Norte|600|589|1181|400|1439|1331|2770|357.28|43.39||123.08|15.33||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|||||
177|351535 Euclides da Cunha Paulista|2020|351535|Euclides da Cunha Paulista|1940|2015|3947|1423|4736|4589|9325|28338.71|0.0||10940.92|0.0||2.0|0.0|2.0|8.0|2.0||10.0|11.0|13.0|||||
178|351540 Fartura|2020|351540|Fartura|3121|3144|6773|3032|7762|8308|16070|36211.39|8887.72||4073.0|503.33||4.0|0.0|4.0|6.0|15.0||32.0|34.0|35.0|||||
179|351560 Fernando Prestes|2020|351560|Fernando Prestes|983|1006|2441|1364|2862|2932|5794|5650.7|0.0||1254.92|0.0||1.0|0.0|1.0|3.0|1.0||6.0|6.0|7.0|||||
180|351550 Fernandópolis|2020|351550|Fernandópolis|10724|12924|30856|14898|33925|35477|69402|682930.93|512.11||40651.33|747.67||16.5|70.5|87.0|41.0|198.0||236.0|381.0|405.0|||||
181|351565 Fernão|2020|351565|Fernão|315|337|760|315|882|845|1727|1474.38|0.0||461.25|0.0||2.0|0.0|2.0|2.0|0.0||1.0|1.0|2.0|||||
182|351570 Ferraz de Vasconcelos|2020|351570|Ferraz de Vasconcelos|45396|49497|80440|21167|95512|100988|196500|188483.64|1590.97||58184.58|719.0||24.0|4.0|28.0|36.0|19.0||44.5|52.5|58.5|||||
183|351580 Flora Rica|2020|351580|Flora Rica|189|231|617|393|725|705|1430|51.75|||26878.75||||||3.5|0.0||1.0|2.0|3.5|||||
184|351590 Floreal|2020|351590|Floreal|282|500|1303|815|1438|1462|2900|8313.25|8.49||1530.83|3.0||2.0|0.0|2.0|2.0|0.0||2.0|2.0|3.0|||||
185|351600 Flórida Paulista|2020|351600|Flórida Paulista|2451|3361|6844|2134|8789|6001|14790|18081.25|21.93||13831.58|7.75||3.0|1.0|4.0|10.0|4.0||14.0|14.0|16.0|||||
186|351610 Florínia|2020|351610|Florínia|449|508|1122|574|1301|1352|2653|14357.84|7.55||10087.67|2.67||1.0|0.0|1.0|7.0|0.0||4.0|4.0|7.0|||||
187|351620 Franca|2020|351620|Franca|70323|79282|149656|56640|173294|182607|355901|2526206.23|19883.89||211967.25|1661.25||67.0|52.0|119.0|63.0|129.5||212.5|238.5|251.0|||||
188|351630 Francisco Morato|2020|351630|Francisco Morato|44140|44927|69885|18681|88294|89339|177633|292862.11|2571.99||71479.25|623.0||12.5|6.5|19.0|24.0|35.0||62.5|69.0|72.0|||||
189|351640 Franco da Rocha|2020|351640|Franco da Rocha|35157|38478|66214|16643|79623|76869|156492|951806.6|262.11||100229.75|256.17||62.0|8.0|70.0|52.5|35.0||83.5|95.5|105.5|||||
190|351650 Gabriel Monteiro|2020|351650|Gabriel Monteiro|419|452|1283|622|1398|1378|2776|0.0|0.0||50.92|0.0||1.0|0.0|1.0|2.0|1.0||2.0|2.0|3.0|||||
191|351660 Gália|2020|351660|Gália|1073|1185|2764|1460|3221|3261|6482|11837.41|146.65||7520.17|57.08||4.0|0.0|4.0|4.0|2.0||8.0|9.0|11.0|||||
192|351670 Garça|2020|351670|Garça|8241|8848|19055|8265|21584|22825|44409|81321.14|73.11||52997.75|1321.0||14.5|4.0|18.5|26.5|18.0||63.0|71.0|75.0|||||
193|351680 Gastão Vidigal|2020|351680|Gastão Vidigal|977|1031|2155|697|2839|2021|4860|2886.66|0.47||1243.33|0.17||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|||||
194|351685 Gavião Peixoto|2020|351685|Gavião Peixoto|1016|1088|2071|640|2427|2388|4815|17757.56|||3471.67|||4.0|0.0|4.0|5.0|0.5||5.0|6.0|7.0|||||
195|351690 General Salgado|2020|351690|General Salgado|1813|1983|4836|2230|5430|5432|10862|17940.53|0.24||2705.42|0.08||4.0|2.0|6.0|7.0|8.0||14.0|17.0|19.0|||||
196|351700 Getulina|2020|351700|Getulina|2001|2551|5045|1850|6323|5124|11447|25719.03|1.65||17399.92|0.58||1.0|1.0|2.0|5.0|1.0||16.0|16.0|17.0|||||
197|351710 Glicério|2020|351710|Glicério|1013|1012|1990|814|2416|2413|4829|4598.8|0.0||4922.75|0.0||1.0|0.0|1.0|3.0|0.0||2.0|2.0|3.0|||||
198|351720 Guaiçara|2020|351720|Guaiçara|2571|2717|5186|1820|6278|6016|12294|3538.97|189.22||7756.25|21.33||1.0|0.0|1.0|7.0|2.0||13.0|13.0|14.0|||||
199|351730 Guaimbê|2020|351730|Guaimbê|1209|1201|2366|1009|2899|2886|5785|10152.92|0.0||2894.33|0.0||1.0|0.0|1.0|6.0|0.0||5.0|5.0|7.0|||||
200|351740 Guaíra|2020|351740|Guaíra|7773|8463|18137|6667|20260|20780|41040|66877.64|749.49||47100.17|1433.42||7.0|4.0|11.0|16.0|23.0||65.0|74.5|77.5|||||
201|351750 Guapiaçu|2020|351750|Guapiaçu|3926|4464|9758|3627|11036|10739|21775|51310.78|112.97||24113.0|262.17||6.5|0.0|6.5|12.0|5.0||17.0|19.0|21.0|||||
202|351760 Guapiara|2020|351760|Guapiara|3446|3573|6971|3035|8634|8391|17025|13254.45|0.0||109140.58|0.0||1.0|1.0|2.0|16.0|5.0||14.0|15.0|20.0|||||
203|351770 Guará|2020|351770|Guará|4938|4952|8458|2960|10630|10678|21308|29029.5|267.49||61125.0|249.0||7.0|7.0|14.0|16.0|17.0||45.5|49.5|54.5|||||
204|351780 Guaraçaí|2020|351780|Guaraçaí|1316|1458|3659|1857|4120|4170|8290|12934.63|0.0||13770.58|0.0||1.0|0.0|1.0|5.5|2.0||12.5|12.5|15.5|||||
205|351790 Guaraci|2020|351790|Guaraci|2452|2451|4673|1711|5815|5472|11287|27687.74|11.32||15822.08|4.0||3.0|0.0|3.0|8.0|5.0||15.0|15.0|19.0|||||
206|351800 Guarani d'Oeste|2020|351800|Guarani d'Oeste|383|357|834|424|937|1061|1998|14263.82|1054.38||2702.92|64.5||1.0|0.0|1.0|3.0|0.0||2.0|2.0|4.0|||||
207|351810 Guarantã|2020|351810|Guarantã|1449|1504|2690|1032|3332|3343|6675|500.04|0.0||4149.0|0.0||2.0|0.0|2.0|6.0|0.0||4.0|4.0|6.0|||||
208|351820 Guararapes|2020|351820|Guararapes|5838|6383|14614|6265|16312|16788|33100|37726.84|34.43||17912.25|12.17||5.5|7.5|13.0|17.0|20.5||59.5|61.5|63.5|||||
209|351830 Guararema|2020|351830|Guararema|5825|6851|12773|4687|15108|15028|30136|61571.15|78.05||12409.08|130.67||6.0|1.0|7.0|10.0|6.0||22.5|23.5|25.5|||||
210|351840 Guaratinguetá|2020|351840|Guaratinguetá|21870|25100|53805|21730|58868|63637|122505|697840.57|155.38||33802.0|54.67||13.0|52.0|65.0|38.0|135.0||320.0|339.5|349.0|||||
211|351850 Guareí|2020|351850|Guareí|2645|4784|9593|1865|12938|5949|18887|6921.86|164.6||18820.67|189.17||5.0|0.0|5.0|9.0|3.0||10.0|10.0|12.0|||||
212|351860 Guariba|2020|351860|Guariba|8963|9493|17060|4971|20522|19965|40487|109066.97|26.41||21304.67|9.33||7.5|5.0|12.5|13.0|15.0||40.0|46.0|48.0|||||
213|351870 Guarujá|2020|351870|Guarujá|70665|74145|134222|43718|156697|166053|322750|1425797.28|2997.72||175551.17|1378.0||41.5|33.5|75.0|61.5|131.5||345.5|356.5|366.5|||||
214|351880 Guarulhos|2020|351880|Guarulhos|304930|335282|582257|169652|676499|715622|1392121|3144742.99|25720.73||364970.67|12336.08||166.0|116.0|282.0|154.0|299.0||432.0|563.0|575.0|||||
215|351885 Guatapará|2020|351885|Guatapará|1704|1725|3037|1243|3968|3741|7709|10221.38|0.0||4202.75|0.0||2.0|0.0|2.0|9.0|1.0||6.0|7.0|10.0|||||
216|351890 Guzolândia|2020|351890|Guzolândia|1091|1123|2228|865|2724|2583|5307|795.31|||2918.5|||2.0|0.0|2.0|3.0|0.0||2.0|2.0|3.0|||||
217|351900 Herculândia|2020|351900|Herculândia|1870|2083|4030|1605|4825|4763|9588|46870.12|19.1||5395.0|6.75||4.0|0.0|4.0|10.0|4.0||12.0|13.0|16.0|||||
218|351905 Holambra|2020|351905|Holambra|3014|3286|6921|2051|7690|7582|15272|27368.22|0.0||7273.33|0.0||1.0|1.0|2.0|6.0|6.5||21.5|23.5|24.5|||||
219|351907 Hortolândia|2020|351907|Hortolândia|48207|57258|100886|27908|120044|114215|234259|715829.65|103.4||121181.0|1985.58||26.5|17.0|43.5|52.0|80.5||159.0|175.0|182.0|||||
220|351910 Iacanga|2020|351910|Iacanga|2311|2534|5148|1865|6305|5553|11858|16392.63|||8266.25|||3.0|2.0|5.0|8.0|4.0||15.0|15.0|17.0|||||
221|351920 Iacri|2020|351920|Iacri|1122|1163|2685|1325|3218|3077|6295|903.6|0.0||9385.0|0.0||1.0|0.0|1.0|4.0|1.0||3.0|3.0|5.0|||||
222|351925 Iaras|2020|351925|Iaras|1403|2124|4993|997|7254|2263|9517|0.0|0.0||590.58|0.0||17.0|0.0|17.0|8.0|0.0||6.0|6.0|8.0|||||
223|351930 Ibaté|2020|351930|Ibaté|7833|8638|14966|4035|18466|17006|35472|58346.54|551.78||18823.5|211.92||3.0|3.0|6.0|14.0|10.5||44.5|45.5|48.0|||||
224|351940 Ibirá|2020|351940|Ibirá|2376|2538|5292|2312|6353|6165|12518|4541.68|6.6||4320.42|2.33||2.0|0.0|2.0|6.0|13.0||19.0|20.0|21.0|||||
225|351950 Ibirarema|2020|351950|Ibirarema|1601|1777|3239|1224|3984|3857|7841|7182.3|13.91||15603.58|4.92||1.0|0.0|1.0|5.5|0.0||3.5|3.5|5.5|||||
226|351960 Ibitinga|2020|351960|Ibitinga|11440|12669|27066|9425|30124|30476|60600|77682.71|60.04||37910.08|71.42||6.0|7.0|13.0|23.5|41.5||143.0|149.0|155.0|||||
227|351970 Ibiúna|2020|351970|Ibiúna|16713|17690|33256|11820|40335|39144|79479|711518.4|478.12||178035.08|187.5||7.5|8.5|16.0|27.0|22.0||46.5|53.5|59.0|||||
228|351980 Icém|2020|351980|Icém|1764|1865|3543|1132|4262|4042|8304|2752.04|76.03||4553.83|29.75||1.0|1.0|2.0|9.0|8.0||14.0|19.0|21.0|||||
229|351990 Iepê|2020|351990|Iepê|1565|1663|3455|1511|4099|4095|8194|18138.03|85.37||6983.08|30.17||2.0|0.0|2.0|8.0|7.5||11.5|13.5|20.0|||||
230|352000 Igaraçu do Tietê|2020|352000|Igaraçu do Tietê|4882|5253|10991|3623|12315|12434|24749|8651.46|6.58||6208.33|287.08||2.5|2.5|5.0|8.0|2.0||15.5|17.5|18.5|||||
231|352010 Igarapava|2020|352010|Igarapava|6148|6654|12866|4946|15386|15228|30614|34626.87|0.0||22076.58|67.08||7.0|6.0|13.0|15.5|23.0||56.0|61.0|64.5|||||
232|352020 Igaratá|2020|352020|Igaratá|1903|2044|3989|1647|4852|4731|9583|28730.42|1.28||7548.25|0.5||3.0|0.0|3.0|7.0|1.0||5.0|5.0|7.0|||||
233|352030 Iguape|2020|352030|Iguape|6098|5973|12588|6330|15482|15507|30989|30450.61|36.68||10463.75|166.83||3.0|1.0|4.0|11.0|9.5||22.0|25.5|27.5|||||
234|352042 Ilha Comprida|2020|352042|Ilha Comprida|2098|1902|4650|2712|5501|5861|11362|18395.38|48.58||6255.92|17.17||1.0|0.0|1.0|10.5|1.0||9.5|9.5|11.5|||||
235|352044 Ilha Solteira|2020|352044|Ilha Solteira|4424|4727|11857|5780|13023|13765|26788|287737.96|372.65||39199.92|143.92||14.0|17.0|31.0|14.0|53.0||91.0|107.5|109.5|||||
236|352040 Ilhabela|2020|352040|Ilhabela|7993|8481|15094|4023|17819|17772|35591|132400.65|1.61||50952.67|150.5||25.0|1.0|26.0|21.0|6.0||23.0|25.0|30.0|||||
237|352050 Indaiatuba|2020|352050|Indaiatuba|49508|57421|113497|35797|127876|128347|256223|803932.86|99306.91||123211.0|24399.58||38.5|55.5|94.0|38.0|175.5||328.5|370.5|386.5|||||
238|352060 Indiana|2020|352060|Indiana|831|965|2180|903|2460|2419|4879|1022.34|0.0||257.42|0.0||2.0|0.0|2.0|5.0|0.0||7.0|7.0|8.0|||||
239|352070 Indiaporã|2020|352070|Indiaporã|562|654|1684|986|1891|1995|3886|18391.62|227.39||2969.75|88.75||2.0|0.0|2.0|3.0|1.0||5.0|5.0|6.0|||||
240|352080 Inúbia Paulista|2020|352080|Inúbia Paulista|725|817|1726|751|2012|2007|4019|3863.05|78.62||7092.42|30.83||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|||||
241|352090 Ipaussu|2020|352090|Ipaussu|3357|3333|6068|2311|7745|7324|15069|39955.82|6.84||11369.5|2.42||3.0|2.5|5.5|6.0|8.0||14.5|15.5|16.5|||||
242|352100 Iperó|2020|352100|Iperó|8634|9177|15823|4330|20442|17522|37964|35721.66|20.28||9223.67|191.08||6.5|2.0|8.5|14.5|6.0||27.5|27.5|31.5|||||
243|352110 Ipeúna|2020|352110|Ipeúna|1786|1896|3048|957|4001|3686|7687|14474.51|0.0||6701.25|0.0||3.0|0.0|3.0|8.0|0.0||4.0|5.0|8.0|||||
244|352115 Ipiguá|2020|352115|Ipiguá|972|1063|2335|1106|2746|2730|5476|742.2|92.01||380.25|36.08||2.0|0.0|2.0|3.5|0.0||1.5|2.5|3.5|||||
245|352120 Iporanga|2020|352120|Iporanga|979|941|1623|656|2122|2077|4199|238.79|0.0||972.17|0.0||1.0|0.0|1.0|5.0|0.0||4.0|4.0|5.0|||||
246|352130 Ipuã|2020|352130|Ipuã|3590|4088|6890|2036|8514|8090|16604|15102.64|526.87||3850.67|152.58||6.0|4.5|10.5|10.0|14.0||36.0|37.0|38.0|||||
247|352140 Iracemápolis|2020|352140|Iracemápolis|4902|5555|10690|3467|12329|12285|24614|5360.1|6.16||2009.33|2.42||5.0|0.0|5.0|15.0|11.0||27.0|31.0|32.0|||||
248|352150 Irapuã|2020|352150|Irapuã|1663|1693|3428|1264|4317|3731|8048|21578.07|10.31||23769.0|0.58||1.0|0.0|1.0|4.0|4.0||7.5|7.5|8.5|||||
249|352160 Irapuru|2020|352160|Irapuru|1035|1840|4047|1403|5405|2920|8325|0.0|||1458.75|||4.0|3.0|7.0|6.0|0.0||9.0|9.0|11.0|||||
250|352170 Itaberá|2020|352170|Itaberá|3497|3733|7249|3001|8828|8652|17480|26413.07|55.42||11933.5|19.58||2.0|0.0|2.0|20.0|2.0||16.0|19.0|22.0|||||
251|352180 Itaí|2020|352180|Itaí|5489|5803|12429|3661|15248|12134|27382|18915.66|0.42||6355.5|0.17||6.0|0.0|6.0|14.0|7.0||20.5|21.0|25.0|||||
252|352190 Itajobi|2020|352190|Itajobi|2310|2821|6697|3469|7759|7538|15297|10851.04|50.0||26920.5|17.67||3.0|0.0|3.0|11.0|9.0||26.0|27.0|30.0|||||
253|352200 Itaju|2020|352200|Itaju|843|909|1540|595|2077|1810|3887|3587.02|59.69||5463.75|21.92||1.0|1.0|2.0|2.0|1.0||1.0|1.0|3.0|||||
254|352210 Itanhaém|2020|352210|Itanhaém|22286|20053|40366|20397|49297|53805|103102|259614.6|850.91||80373.33|1707.25||22.0|6.0|28.0|35.0|33.5||62.5|77.5|82.5|||||
255|352215 Itaóca|2020|352215|Itaóca|622|662|1358|688|1743|1587|3330|510.26|||124.0|||1.0|0.0|1.0|4.0|0.0||2.0|2.0|4.0|||||
256|352220 Itapecerica da Serra|2020|352220|Itapecerica da Serra|40276|43803|74149|19434|90074|87588|177662|926575.37|0.0||136001.25|388.25||12.0|24.5|36.5|23.5|29.5||51.5|62.5|68.0|||||
257|352230 Itapetininga|2020|352230|Itapetininga|34625|38067|68396|24438|83120|82406|165526|783897.27|178.29||46836.08|570.67||34.0|55.0|89.0|58.0|108.0||376.5|400.5|407.0|||||
258|352240 Itapeva|2020|352240|Itapeva|20792|22289|38730|12993|46934|47870|94804|937731.09|44499.7||122380.67|2715.42||16.5|34.5|51.0|43.0|72.0||239.0|257.0|269.5|||||
259|352250 Itapevi|2020|352250|Itapevi|59335|62199|96331|23096|118537|122424|240961|516663.2|1412.52||105305.92|554.25||18.5|5.5|24.0|44.0|57.5||88.0|106.0|112.0|||||
260|352260 Itapira|2020|352260|Itapira|12181|15361|33531|14161|37105|38129|75234|162564.92|15004.04||52991.92|3786.58||20.5|20.5|41.0|25.0|48.0||141.0|150.0|153.0|||||
261|352265 Itapirapuã Paulista|2020|352265|Itapirapuã Paulista|1082|1050|1599|537|2195|2073|4268|2336.01|0.0||366.17|0.0||2.0|0.0|2.0|7.0|0.0||4.0|4.0|7.0|||||
262|352270 Itápolis|2020|352270|Itápolis|7291|8835|19265|7940|21619|21712|43331|93482.55|746.22||30643.0|494.58||14.5|4.0|18.5|13.0|31.0||84.0|94.0|95.0|||||
263|352280 Itaporanga|2020|352280|Itaporanga|3145|2890|6176|2962|7649|7524|15173|7200.46|43.27||10467.92|15.75||3.0|0.0|3.0|9.5|8.5||12.0|13.5|18.0|||||
